Player,Matches,Runs,Average,StrikeRate,Centuries,Fifties,balls,season
Virat Kohli,200,6000,38.5,130.5,5,45,4598,2018
Rohit Sharma,210,5500,32.7,135.2,4,40,4068,2019
MS Dhoni,180,4500,40.2,120.3,4,35,3741,2020
AB de Villiers,150,4800,42.0,145.6,5,38,3297,2021
David Warner,190,5000,35.0,138.4,3,42,3613,2022
KL Rahul,160,4200,36.0,132.7,3,30,3165,2018
Shikhar Dhawan,170,4000,34.5,129.5,2,28,3089,2019
Andre Russell,140,3000,28.7,150.0,2,25,2000,2020
Hardik Pandya,130,2800,30.2,140.2,1,20,1997,2021
Rashid Khan,150,1500,25.0,135.0,0,15,1111,2022
